drug_id,disease_id
0,42
0,126
0,261
0,274
0,284
1,284
2,19
2,42
2,128
2,274
3,71
3,114
4,33
4,51
4,270
5,33
6,94
6,211
10,66
10,86
10,112
10,160
10,293
10,305
11,180
12,209
13,154
14,243
14,244
15,79
16,82
16,200
16,223
16,243
17,227
18,242
19,7
19,155
19,191
19,231
19,244
19,287
19,289
20,177
20,197
21,182
21,183
21,226
21,306
22,3
22,114
23,72
23,273
24,109
24,117
25,108
25,312
26,82
26,108
26,312
27,8
28,162
28,269
29,38
29,41
29,68
29,86
29,144
29,148
29,272
29,292
30,69
31,117
31,144
31,210
32,108
32,312
34,31
34,118
35,230
35,250
36,1
36,86
37,312
38,284
39,57
39,66
39,79
39,86
39,102
40,108
40,129
41,299
42,108
42,312
43,142
44,284
45,210
46,14
46,147
46,263
47,82
47,108
47,174
47,264
47,312
48,43
48,109
48,117
48,182
48,183
48,226
48,306
49,102
49,246
49,294
49,296
49,297
51,162
51,166
51,269
52,34
52,35
52,37
52,265
53,108
54,72
54,310
55,1
55,86
55,111
56,174
58,79
58,102
59,15
59,38
59,241
60,232
61,31
61,119
62,60
62,135
63,267
64,6
64,111
64,177
65,241
66,168
67,63
67,206
67,214
67,233
67,241
68,17
68,103
68,108
68,146
68,299
68,311
69,1
69,31
69,118
69,119
70,108
70,130
70,312
71,86
71,102
71,230
71,255
71,295
72,108
72,312
73,162
73,166
73,269
74,142
75,64
75,65
75,217
75,240
77,86
78,2
78,3
78,113
78,114
78,116
78,214
78,241
79,34
79,35
79,37
79,265
80,86
80,109
80,117
80,295
81,3
81,19
81,128
81,151
81,175
81,258
81,274
82,61
82,62
82,108
82,278
83,69
84,15
84,99
84,193
84,233
84,238
86,86
87,51
87,52
87,53
88,139
89,16
90,212
90,241
91,299
91,311
92,108
92,312
93,6
93,102
93,135
93,177
93,197
93,246
93,287
94,102
95,66
95,79
95,307
96,66
96,79
96,307
97,79
97,246
98,73
98,86
98,210
99,118
99,119
100,245
101,108
101,312
102,86
102,307
103,49
103,50
103,66
103,86
103,102
103,112
103,160
103,203
103,293
103,305
104,35
104,37
104,127
104,139
104,265
105,162
106,86
107,109
107,135
107,249
108,17
108,103
109,192
109,282
110,14
110,147
110,251
110,263
111,87
112,108
112,130
112,299
112,312
113,86
113,155
113,261
114,6
114,108
115,12
115,19
115,151
116,276
117,102
118,79
119,86
120,236
121,193
122,135
123,14
123,108
123,147
124,79
124,87
125,42
125,139
125,151
126,83
127,79
127,155
127,272
128,61
128,62
128,108
128,246
128,278
128,312
129,129
130,118
131,23
132,164
132,170
132,171
132,173
132,182
132,184
133,30
133,78
133,108
133,312
134,7
134,31
134,287
135,156
135,166
135,174
135,264
137,31
137,118
137,119
138,61
138,62
138,79
138,87
138,278
138,307
139,299
139,311
140,30
140,273
141,162
141,269
142,177
143,87
143,250
143,277
144,21
144,75
144,143
145,3
145,71
145,116
145,241
145,280
145,288
146,312
147,117
148,142
149,135
150,34
150,35
150,37
150,265
151,1
151,118
152,34
152,35
152,37
153,188
154,6
154,108
154,174
154,264
154,284
154,312
155,69
156,73
156,155
156,225
157,193
158,79
158,138
158,183
158,306
159,102
159,135
159,178
159,246
159,259
159,289
159,290
160,218
160,264
160,312
161,257
162,115
162,162
162,284
163,19
163,75
163,288
164,32
164,49
164,93
164,282
165,15
165,137
165,181
165,193
166,19
167,14
167,263
168,61
168,62
168,108
168,278
169,217
169,240
171,86
171,104
171,108
171,130
171,155
171,261
171,312
172,69
172,266
172,270
173,66
173,86
175,86
175,254
176,155
177,12
178,162
179,109
179,117
179,135
179,295
180,5
180,185
181,111
182,79
183,214
184,3
184,19
184,114
185,66
185,112
185,124
185,125
185,160
185,204
185,293
185,305
186,61
186,278
187,299
187,311
188,6
188,101
188,110
188,117
188,221
188,247
189,34
189,35
189,37
190,82
191,118
191,119
192,86
193,128
194,66
194,112
194,293
195,14
195,147
195,230
195,251
196,40
196,60
196,135
196,138
197,79
197,86
198,79
198,307
199,16
199,48
199,137
199,193
199,219
199,238
199,241
200,82
200,108
200,312
201,61
201,108
201,312
202,88
203,312
204,86
205,75
206,6
207,102
208,115
208,162
209,18
209,178
209,259
210,79
210,115
210,162
210,220
211,86
211,117
211,210
211,266
212,15
212,153
212,193
212,204
212,214
212,219
212,233
212,235
212,241
212,275
212,276
213,82
213,108
213,312
214,8
214,19
214,20
215,210
215,211
217,284
218,162
219,240
220,241
221,66
221,112
221,160
221,293
221,305
222,135
222,177
222,197
223,79
223,86
224,108
224,129
225,16
225,19
225,58
225,93
225,165
225,181
225,189
225,192
225,193
225,204
225,206
225,212
225,222
225,233
225,235
225,238
225,241
225,276
226,1
226,6
226,41
226,111
226,135
226,148
227,142
228,88
228,141
228,193
228,212
228,241
229,23
229,67
229,102
229,108
229,121
229,146
229,246
229,312
230,147
230,185
231,66
231,86
231,112
231,305
232,60
232,69
232,86
232,108
232,121
232,272
232,299
232,312
233,66
233,112
233,160
233,293
234,172
235,82
235,312
236,14
236,147
236,251
236,263
237,8
237,66
237,86
237,90
237,160
237,254
237,293
238,162
238,269
239,86
239,108
239,130
239,155
239,261
239,312
241,177
242,174
242,312
243,192
244,17
244,103
244,108
244,121
244,312
245,3
245,75
245,288
247,50
247,66
247,86
247,112
247,124
247,160
247,305
248,133
249,86
250,17
250,103
251,44
251,206
251,241
251,304
252,6
252,22
252,49
252,89
252,93
252,94
252,122
252,133
252,141
252,162
252,181
253,108
253,312
255,19
255,175
255,199
256,72
256,74
257,3
257,90
257,114
257,116
257,280
258,206
259,12
259,32
259,49
259,71
259,93
259,94
259,102
259,133
259,141
259,162
259,165
259,181
259,192
259,206
259,212
259,241
259,251
259,264
260,74
261,87
262,154
263,72
266,86
267,20
268,162
268,269
269,86
270,39
270,145
270,197
271,61
271,62
271,108
271,278
272,175
273,60
273,108
274,5
275,23
275,24
275,102
275,155
275,311
275,312
276,61
276,62
276,87
276,278
277,102
277,246
278,34
278,35
278,37
279,7
279,31
279,287
280,19
280,123
281,78
281,312
282,135
283,9
283,30
283,299
283,311
286,82
286,108
286,312
287,97
287,108
287,121
287,190
287,239
287,312
288,88
288,181
288,206
289,71
289,82
289,108
289,113
289,156
289,161
289,166
289,174
289,218
290,102
290,246
291,102
291,107
291,148
292,5
293,155
293,257
293,261
294,48
295,3
296,4
296,66
296,95
296,112
296,160
296,293
296,305
297,118
297,119
298,43
298,109
298,117
298,210
299,162
299,269
300,42
300,139
300,151
300,175
301,86
302,30
302,82
302,108
302,310
302,312
304,130
305,37
305,265
306,211
307,60
307,135
307,182
307,183
307,226
307,249
308,14
308,147
308,263
309,32
309,115
309,192
310,162
310,269
311,11
311,38
311,69
312,10
312,31
312,105
312,118
312,119
312,147
312,185
313,112
313,160
313,293
313,305
314,86
315,177
315,197
316,76
316,77
316,93
316,136
316,241
316,284
317,79
318,260
319,59
319,263
319,284
320,20
320,181
320,204
320,241
321,240
322,162
322,192
322,269
323,121
326,137
326,193
327,310
328,177
328,234
328,248
328,262
328,285
328,301
328,302
328,303
328,308
329,3
329,128
329,258
330,236
331,49
331,66
331,79
331,86
331,90
331,102
331,112
331,160
331,210
331,305
332,30
332,82
332,310
333,29
333,45
333,46
333,146
333,147
333,163
333,177
333,248
333,262
333,285
333,301
333,303
333,308
334,6
334,232
335,108
335,312
337,30
337,142
337,260
337,273
338,108
338,174
338,218
338,264
338,312
339,31
339,118
340,86
341,50
341,66
341,112
341,160
341,293
342,162
342,269
343,85
343,174
343,177
343,197
343,264
344,108
344,129
345,5
346,100
346,177
346,272
347,135
348,35
348,265
349,7
350,86
352,241
353,98
353,99
353,193
353,219
353,235
353,241
354,79
354,162
354,269
354,307
355,98
355,99
355,241
356,38
356,84
356,87
356,174
356,241
356,251
357,66
357,86
357,112
357,293
357,305
358,14
358,147
358,251
359,282
360,230
360,277
361,307
362,61
362,62
363,162
364,108
364,312
365,108
365,156
365,166
365,174
365,218
365,264
365,312
366,312
367,237
368,14
368,108
368,129
368,310
369,3
369,114
369,116
369,280
370,82
370,108
370,113
370,156
370,174
370,218
370,264
370,312
371,79
372,86
373,86
374,162
374,269
375,108
375,161
375,166
375,174
375,218
375,264
375,312
376,5
376,79
376,109
377,61
377,62
377,108
377,278
378,177
379,86
380,23
381,163
381,262
381,285
381,300
381,301
381,302
381,303
381,308
382,34
382,35
382,37
382,265
383,27
383,118
384,189
386,86
387,86
387,102
387,107
387,155
387,272
388,121
389,14
389,147
389,251
389,263
390,205
390,220
390,271
391,66
391,147
392,135
393,8
393,32
393,86
393,284
394,230
394,277
397,9
397,30
397,66
397,90
397,94
397,102
397,160
397,273
397,293
397,305
398,19
399,0
400,102
401,102
402,86
402,307
403,42
403,151
403,284
404,16
404,48
404,241
405,12
405,84
405,87
405,162
405,241
406,108
407,26
407,173
408,78
408,108
408,312
409,108
409,312
412,3
412,42
412,139
412,151
412,175
412,258
412,284
413,276
413,284
414,162
414,166
414,269
415,15
415,181
415,204
415,206
415,233
415,276
416,82
416,108
416,113
416,257
417,7
417,31
417,118
417,287
419,112
419,160
419,293
419,305
420,8
421,38
421,94
421,106
421,133
421,141
421,165
421,192
422,55
423,1
423,86
423,102
423,111
423,146
423,234
423,248
423,262
423,285
423,300
423,301
423,302
423,303
424,16
424,19
424,58
424,143
424,153
424,167
424,193
424,206
424,214
424,235
424,241
424,276
425,102
426,3
426,33
426,108
426,161
426,174
426,264
