drug_id,disease_id
0,42
0,91
0,126
0,128
0,261
0,274
0,284
1,284
2,19
2,42
2,128
2,274
3,71
3,114
3,116
3,280
4,33
4,51
4,252
4,266
5,33
5,252
7,36
8,177
8,197
9,120
10,66
10,112
10,293
10,305
11,180
12,158
12,198
12,209
13,154
14,82
14,244
15,79
16,82
16,200
16,223
16,243
18,25
18,242
19,31
19,155
19,187
19,191
19,244
19,287
19,289
20,177
21,182
21,183
21,226
21,306
22,3
22,114
22,232
24,117
26,82
28,162
29,38
29,41
29,86
29,148
29,272
29,292
30,69
31,117
32,108
33,214
34,1
34,31
34,118
34,119
35,230
35,277
36,1
36,86
37,61
37,108
37,312
38,284
39,57
39,86
39,102
40,108
40,129
41,23
41,299
41,311
42,108
44,284
45,83
45,103
45,210
46,14
46,147
46,263
47,82
47,108
47,113
47,161
47,174
47,264
47,312
48,5
48,43
48,109
48,138
48,182
48,183
48,226
49,102
49,246
49,294
49,296
49,297
49,298
50,162
51,166
51,269
52,35
52,265
53,108
53,312
54,72
54,310
55,1
55,111
57,192
58,102
59,15
59,92
59,220
59,241
61,31
61,118
61,119
63,267
64,6
64,23
65,241
66,22
66,168
67,15
67,63
67,193
67,214
67,233
68,103
68,108
68,146
68,299
68,312
69,1
69,31
69,118
70,108
70,130
71,86
71,102
71,230
71,246
71,255
71,286
71,295
72,108
72,312
73,162
73,269
75,64
75,65
75,240
76,23
78,2
78,3
78,19
78,71
78,116
78,214
78,241
79,34
79,35
80,43
80,69
80,109
80,295
81,3
81,151
81,175
81,258
81,274
82,62
82,108
82,278
83,69
84,15
84,98
84,99
84,193
84,206
84,233
84,238
85,86
86,86
87,51
87,52
87,53
87,54
87,186
88,42
88,139
88,151
89,16
89,58
90,212
90,241
93,7
93,31
93,102
93,135
93,177
93,246
93,287
95,66
95,86
95,102
95,307
96,66
96,307
97,79
97,102
97,246
98,73
98,86
99,118
99,119
100,245
101,108
101,312
102,86
102,307
103,66
103,102
103,112
103,160
103,203
103,229
103,281
103,293
103,305
104,34
104,35
104,37
104,127
104,139
104,265
105,162
105,166
105,269
106,86
107,109
107,135
107,249
109,192
109,282
110,147
110,251
112,299
112,311
112,312
113,86
113,155
113,261
114,108
114,312
115,12
118,79
119,86
121,193
123,147
125,42
125,139
126,83
127,272
128,61
128,62
128,102
128,246
128,312
129,108
129,129
130,118
131,23
132,164
132,170
132,171
132,182
132,184
132,253
133,78
133,108
133,130
133,310
133,312
134,7
134,31
134,287
135,161
135,166
135,264
136,16
137,31
137,118
137,119
138,61
138,62
138,79
138,83
138,87
138,307
139,299
139,311
140,30
140,273
141,162
141,269
142,177
143,87
143,230
143,277
143,307
144,21
144,75
144,143
144,288
145,3
145,116
145,214
145,241
145,280
146,108
146,130
146,312
147,117
147,210
148,142
150,35
150,37
151,1
151,31
151,118
151,119
152,34
152,35
152,37
152,265
153,188
154,6
154,161
154,174
154,264
154,284
154,312
155,69
156,73
156,147
156,155
156,185
156,225
157,193
158,182
158,183
158,226
158,306
159,18
159,87
159,135
159,178
159,246
159,289
159,290
160,108
160,174
160,264
160,312
161,257
161,279
162,115
162,162
162,284
163,19
163,75
163,288
164,32
164,282
165,15
165,137
165,206
165,233
166,19
166,241
167,14
167,147
167,263
168,61
168,62
168,108
168,278
169,64
169,65
169,217
170,86
171,86
171,104
171,130
171,155
171,312
172,69
172,86
172,117
172,266
172,270
173,66
173,86
174,152
175,86
175,254
176,155
177,12
178,162
178,166
178,269
179,43
179,109
179,210
179,295
180,5
181,86
181,111
182,79
182,135
184,3
184,19
184,114
185,56
185,66
185,86
185,124
185,125
185,204
185,293
185,305
186,61
186,62
186,108
186,278
187,311
188,6
188,110
188,117
188,221
188,247
189,34
189,35
189,37
189,265
190,82
190,108
190,312
191,118
191,119
192,86
194,66
194,112
194,160
194,293
194,305
195,14
195,147
